Number of Genes,Algorithm,STRING12,minimalNet,universalNet
500TFs,GENIE3,0.685747576741331,0.8146164428193896,0.641650350962677
500TFs,GRNBOOST2,0.6301752007367456,0.784048618904536,0.609234232610079
500TFs,PIDC,0.6890064341774399,0.8206313579263658,0.6431419687951654
500TFs,PPCOR,0.5,0.5,0.5
500TFs,SCODE,0.502302858442974,0.4786943851138543,0.5841221977104635
500TFs,SINCERITIES,0.5436587245123757,0.6266607537197263,0.5635285052134674
1000TFs,GENIE3,0.6690484558211602,0.8156228505231147,0.6690484558211602
1000TFs,GRNBOOST2,0.6110068450214055,0.7853102487057887,0.6110068450214055
1000TFs,PIDC,0.6787033307507793,0.8192520725482387,0.6787033307507793
1000TFs,PPCOR,0.5,0.5,0.5
1000TFs,SCODE,0.5077315557707904,0.4890987582811426,0.5077315557707904
1000TFs,SINCERITIES,0.5396010608415958,0.625282825905948,0.5396010608415958
